"incidnt_num","category","descript","day_of_week","date","time","pd_district","resolution","address","lon","lat","location","id"
"131051304","NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Saturday","2013-12-14","17:00:00","NORTHERN","PSYCHOPATHIC CASE","700 Block of POLK ST","-122.419","37.784","(37.7835801760277, -122.419234503933)","15480"
"146003328","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","2014-01-03","08:30:00","NORTHERN","NONE","200 Block of VANNESS AV","-122.42","37.778","(37.7778483232762, -122.419666219648)","9476"
"136235917","LARCENY/THEFT","GRAND THEFT FROM UNLOCKED AUTO","Saturday","2013-12-14","20:55:00","SOUTHERN","NONE","MINNA ST / 11TH ST","-122.417","37.774","(37.773907074489, -122.416578493475)","15466"
"131034667","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Saturday","2013-12-07","14:00:00","MISSION","NONE","18TH ST / OAKWOOD ST","-122.425","37.761","(37.7614906872068, -122.425025921025)","17730"
"136218571","NON-CRIMINAL","LOST PROPERTY","Wednesday","2013-11-06","14:00:00","SOUTHERN","NONE","100 Block of BLUXOME ST","-122.4","37.775","(37.774660024154, -122.399813059448)","28550"
"140023590","DRUG/NARCOTIC","POSSESSION OF COCAINE","Thursday","2014-01-09","00:50:00","TENDERLOIN","ARREST, BOOKED","TURK ST / TAYLOR ST","-122.411","37.783","(37.7832145190013, -122.410768766343)","7614"
"130943572","BURGLARY","BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY","Monday","2013-11-04","21:05:00","MISSION","NONE","4000 Block of 19TH ST","-122.433","37.759","(37.7594116723028, -122.433390746069)","29074"
"131071136","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Saturday","2013-12-21","00:57:00","BAYVIEW","NONE","1400 Block of THOMAS AV","-122.388","37.729","(37.7285832963223, -122.388299629581)","13167"
"140082289","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Tuesday","2014-01-14","17:30:00","CENTRAL","NONE","HYDE ST / LOMBARD ST","-122.42","37.802","(37.8019942438049, -122.419616109671)","6207"
"130977593","ASSAULT","BATTERY","Wednesday","2013-11-13","17:00:00","NORTHERN","NONE","FELL ST / OCTAVIA ST","-122.424","37.776","(37.7757403536826, -122.424436633246)","25843"
"131001581","ROBBERY","ROBBERY, ARMED WITH A DANGEROUS WEAPON","Saturday","2013-11-23","02:30:00","MISSION","NONE","18TH ST / CASTRO ST","-122.435","37.761","(37.7608878061194, -122.435002864298)","22294"
"140063029","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Saturday","2014-01-18","08:00:00","NORTHERN","NONE","1700 Block of VALLEJO ST","-122.426","37.796","(37.796438474486, -122.426457440999)","4417"
"136221659","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Wednesday","2013-11-20","18:35:00","TENDERLOIN","NONE","HYDE ST / GROVE ST","-122.415","37.779","(37.778719262789, -122.414743835382)","23427"
"130932757","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Sunday","2013-11-03","01:20:00","INGLESIDE","NONE","2200 Block of BAY SHORE BL","-122.402","37.712","(37.7122029450566, -122.402494800866)","29485"
